"date","symbol","exchange","price_usd","daily_open_usd","daily_high_usd","daily_low_usd","volume","change_percent","date_time_utc","pk_dummy","pkey"
"2019-08-30","DASH","HitBTC",8020,7968,8193,7879,2087,0.63,"2019-08-30 00:00:00","2019-08-30 00","2019-08-30 00DASH"
"2019-08-29","DASH","HitBTC",7969,8476,8478,7794,2052,-5.98,"2019-08-29 00:00:00","2019-08-29 00","2019-08-29 00DASH"
"2019-08-28","DASH","HitBTC",8476,9065,9074,8446,3077,-6.53,"2019-08-28 00:00:00","2019-08-28 00","2019-08-28 00DASH"
"2019-08-27","DASH","HitBTC",9068,9223,9233,9002,1690,-1.73,"2019-08-27 00:00:00","2019-08-27 00","2019-08-27 00DASH"
"2019-08-26","DASH","HitBTC",9227,9139,9347,9101,503,0.97,"2019-08-26 00:00:00","2019-08-26 00","2019-08-26 00DASH"
"2019-08-25","DASH","HitBTC",9138,9213,9320,9063,439,-0.78,"2019-08-25 00:00:00","2019-08-25 00","2019-08-25 00DASH"
"2019-08-24","DASH","HitBTC",9210,9332,9344,9006,713,-1.36,"2019-08-24 00:00:00","2019-08-24 00","2019-08-24 00DASH"
"2019-08-23","DASH","HitBTC",9337,9095,9614,9020,1842,2.66,"2019-08-23 00:00:00","2019-08-23 00","2019-08-23 00DASH"
"2019-08-22","DASH","HitBTC",9095,9027,9228,8802,2785,0.81,"2019-08-22 00:00:00","2019-08-22 00","2019-08-22 00DASH"
"2019-08-21","DASH","HitBTC",9022,9358,9382,8722,1629,-3.59,"2019-08-21 00:00:00","2019-08-21 00","2019-08-21 00DASH"
"2019-08-20","DASH","HitBTC",9358,9501,9539,9334,932,-1.5,"2019-08-20 00:00:00","2019-08-20 00","2019-08-20 00DASH"
"2019-08-19","DASH","HitBTC",9501,9486,9686,9395,NA,0.13,"2019-08-19 00:00:00","2019-08-19 00","2019-08-19 00DASH"
"2019-08-18","DASH","HitBTC",9489,9178,9680,9122,513,3.36,"2019-08-18 00:00:00","2019-08-18 00","2019-08-18 00DASH"
"2019-08-17","DASH","HitBTC",9181,9346,9350,9072,1568,-1.8,"2019-08-17 00:00:00","2019-08-17 00","2019-08-17 00DASH"
"2019-08-16","DASH","HitBTC",9349,9474,9541,9126,3245,-1.32,"2019-08-16 00:00:00","2019-08-16 00","2019-08-16 00DASH"
"2019-08-15","DASH","HitBTC",9474,9598,9686,9111,2535,-1.11,"2019-08-15 00:00:00","2019-08-15 00","2019-08-15 00DASH"
"2019-08-14","DASH","HitBTC",9581,10161,10266,9518,1315,-5.71,"2019-08-14 00:00:00","2019-08-14 00","2019-08-14 00DASH"
"2019-08-13","DASH","HitBTC",10161,10443,10775,10076,1081,-2.71,"2019-08-13 00:00:00","2019-08-13 00","2019-08-13 00DASH"
"2019-08-12","DASH","HitBTC",10443,10670,10670,10245,2426,-2.02,"2019-08-12 00:00:00","2019-08-12 00","2019-08-12 00DASH"
"2019-08-11","DASH","HitBTC",10659,9928,10851,9921,2559,7.31,"2019-08-11 00:00:00","2019-08-11 00","2019-08-11 00DASH"
"2019-08-10","DASH","HitBTC",9933,10379,10442,9752,3843,-4.26,"2019-08-10 00:00:00","2019-08-10 00","2019-08-10 00DASH"
"2019-08-09","DASH","HitBTC",10374,10580,10601,10269,2981,-1.95,"2019-08-09 00:00:00","2019-08-09 00","2019-08-09 00DASH"
"2019-08-08","DASH","HitBTC",10580,10771,10814,10395,2888,-1.53,"2019-08-08 00:00:00","2019-08-08 00","2019-08-08 00DASH"
"2019-08-07","DASH","HitBTC",10745,10698,11089,10614,3414,0.45,"2019-08-07 00:00:00","2019-08-07 00","2019-08-07 00DASH"
"2019-08-06","DASH","HitBTC",10697,11010,11158,10400,7491,-2.85,"2019-08-06 00:00:00","2019-08-06 00","2019-08-06 00DASH"
"2019-08-05","DASH","HitBTC",11011,10639,11267,10639,8612,3.48,"2019-08-05 00:00:00","2019-08-05 00","2019-08-05 00DASH"
"2019-08-04","DASH","HitBTC",10640,10683,10739,10330,8077,-0.38,"2019-08-04 00:00:00","2019-08-04 00","2019-08-04 00DASH"
"2019-08-03","DASH","HitBTC",10681,10499,10808,10499,6736,1.7,"2019-08-03 00:00:00","2019-08-03 00","2019-08-03 00DASH"
"2019-08-02","DASH","HitBTC",10503,10681,10903,10381,7423,-1.61,"2019-08-02 00:00:00","2019-08-02 00","2019-08-02 00DASH"
